trip_id,stop_id,stop_sequence,shape_dist_traveled,arrival_time,departure_time
TR_47105,LPI,13,25,09:10:00,09:10:00
TR_47106,HYB,1,1,09:00:00,09:00:00
TR_47106,LKPL,2,2,09:02:00,09:03:00
TR_47106,KQD,3,3,09:04:00,09:05:00
TR_47106,NLRD,4,4,09:06:00,09:07:00
TR_47106,BMT,5,6,09:09:00,09:10:00
TR_47106,NCHS,6,7,09:11:00,09:12:00
TR_47106,FNB,7,8,09:13:00,09:14:00
TR_47106,BTNR,8,11,09:15:00,09:16:00
TR_47106,BRBD,9,13,09:17:00,09:18:00
TR_47106,HTCY,10,16,09:21:00,09:22:00
TR_47106,HFZ,11,19,09:25:00,09:26:00
TR_47106,CDNR,12,22,09:29:00,09:30:00
TR_47106,LPI,13,24,09:45:00,09:45:00
TR_47107,HYB,1,1,09:36:00,09:36:00
TR_47107,LKPL,2,2,09:38:00,09:39:00
TR_47107,KQD,3,3,09:40:00,09:41:00
TR_47107,NLRD,4,4,09:42:00,09:43:00
TR_47107,BMT,5,7,09:46:00,09:47:00
TR_47107,NCHS,6,8,09:48:00,09:49:00
TR_47107,FNB,7,9,09:50:00,09:51:00
TR_47107,BTNR,8,12,09:52:00,09:53:00
TR_47107,BRBD,9,14,09:54:00,09:55:00
TR_47107,HTCY,10,17,09:58:00,09:59:00
TR_47107,HFZ,11,20,10:02:00,10:03:00
TR_47107,CDNR,12,24,10:06:00,10:07:00
TR_47107,LPI,13,25,10:21:00,10:21:00
TR_47108,HYB,1,1,10:18:00,10:18:00
TR_47108,LKPL,2,2,10:22:00,10:23:00
TR_47108,KQD,3,3,10:24:00,10:25:00
TR_47108,NLRD,4,4,10:26:00,10:27:00
TR_47108,BMT,5,7,10:31:00,10:32:00
TR_47108,NCHS,6,8,10:33:00,10:34:00
TR_47108,FNB,7,9,10:35:00,10:36:00
TR_47108,BTNR,8,12,10:39:00,10:40:00
TR_47108,BRBD,9,14,10:42:00,10:43:00
TR_47108,HTCY,10,17,10:46:00,10:47:00
TR_47108,HFZ,11,20,10:51:00,10:52:00
TR_47108,CDNR,12,24,10:56:00,10:57:00
TR_47108,LPI,13,25,11:03:00,11:03:00
TR_47109,HYB,1,1,10:55:00,10:55:00
TR_47109,LKPL,2,2,10:57:00,10:58:00
TR_47109,KQD,3,3,10:59:00,11:00:00
TR_47109,NLRD,4,4,11:01:00,11:02:00
TR_47109,BMT,5,6,11:05:00,11:06:00
TR_47109,NCHS,6,7,11:07:00,11:08:00
TR_47109,FNB,7,8,11:09:00,11:10:00
TR_47109,BTNR,8,11,11:12:00,11:13:00
TR_47109,BRBD,9,13,11:14:00,11:15:00
TR_47109,HTCY,10,16,11:18:00,11:19:00
TR_47109,HFZ,11,19,11:22:00,11:23:00
TR_47109,CDNR,12,22,11:26:00,11:27:00
TR_47109,LPI,13,24,11:40:00,11:40:00
TR_47110,HYB,1,1,11:22:00,11:22:00
TR_47110,LKPL,2,2,11:24:00,11:25:00
TR_47110,KQD,3,3,11:26:00,11:27:00
TR_47110,NLRD,4,4,11:28:00,11:29:00
TR_47110,BMT,5,6,11:32:00,11:33:00
TR_47110,NCHS,6,7,11:34:00,11:35:00
TR_47110,FNB,7,8,11:36:00,11:37:00
TR_47110,BTNR,8,11,11:39:00,11:40:00
TR_47110,BRBD,9,13,11:41:00,11:42:00
TR_47110,HTCY,10,16,11:45:00,11:46:00
TR_47110,HFZ,11,19,11:49:00,11:50:00
TR_47110,CDNR,12,22,11:53:00,11:54:00
TR_47110,LPI,13,24,12:07:00,12:07:00
TR_47111,HYB,1,1,12:03:00,12:03:00
TR_47111,LKPL,2,2,12:07:00,12:08:00
TR_47111,KQD,3,3,12:09:00,12:10:00
TR_47111,NLRD,4,4,12:11:00,12:12:00
TR_47111,BMT,5,7,12:16:00,12:17:00
TR_47111,NCHS,6,8,12:18:00,12:19:00
TR_47111,FNB,7,9,12:20:00,12:21:00
TR_47111,BTNR,8,12,12:24:00,12:25:00
TR_47111,BRBD,9,14,12:27:00,12:28:00
TR_47111,HTCY,10,17,12:31:00,12:32:00
TR_47111,HFZ,11,20,12:36:00,12:37:00
TR_47111,CDNR,12,24,12:41:00,12:42:00
TR_47111,LPI,13,25,12:55:00,12:55:00
TR_47112,HYB,1,1,13:25:00,13:25:00
TR_47112,LKPL,2,2,13:27:00,13:28:00
TR_47112,KQD,3,3,13:29:00,13:30:00
TR_47112,NLRD,4,4,13:31:00,13:32:00
TR_47112,BMT,5,6,13:35:00,13:36:00
TR_47112,NCHS,6,7,13:37:00,13:38:00
TR_47112,FNB,7,8,13:39:00,13:40:00
TR_47112,BTNR,8,11,13:41:00,13:42:00
TR_47112,BRBD,9,13,13:43:00,13:44:00
TR_47112,HTCY,10,16,13:47:00,13:48:00
TR_47112,HFZ,11,19,13:51:00,13:52:00
TR_47112,CDNR,12,22,13:55:00,13:56:00
TR_47112,LPI,13,24,14:10:00,14:10:00
TR_47113,HYB,1,1,14:20:00,14:20:00
TR_47113,LKPL,2,2,14:22:00,14:23:00
TR_47113,KQD,3,3,14:24:00,14:25:00
TR_47113,NLRD,4,4,14:26:00,14:27:00
TR_47113,BMT,5,6,14:29:00,14:30:00
TR_47113,NCHS,6,7,14:31:00,14:32:00
TR_47113,FNB,7,8,14:33:00,14:34:00
TR_47113,BTNR,8,11,14:36:00,14:37:00
TR_47113,BRBD,9,13,14:38:00,14:39:00
TR_47113,HTCY,10,16,14:42:00,14:43:00
TR_47113,HFZ,11,19,14:46:00,14:47:00
TR_47113,CDNR,12,22,14:50:00,14:51:00
TR_47113,LPI,13,24,15:05:00,15:05:00
TR_47114,HYB,1,1,15:20:00,15:20:00
TR_47114,LKPL,2,2,15:22:00,15:23:00
TR_47114,KQD,3,3,15:24:00,15:25:00
TR_47114,NLRD,4,4,15:26:00,15:27:00
TR_47114,BMT,5,6,15:29:00,15:30:00
TR_47114,NCHS,6,7,15:31:00,15:32:00
TR_47114,FNB,7,8,15:33:00,15:34:00
TR_47114,BTNR,8,11,15:36:00,15:37:00
TR_47114,BRBD,9,13,15:38:00,15:39:00
TR_47114,HTCY,10,16,15:42:00,15:43:00
TR_47114,HFZ,11,19,15:46:00,15:47:00
TR_47114,CDNR,12,22,15:50:00,15:51:00
TR_47114,LPI,13,24,16:05:00,16:05:00
TR_47115,HYB,1,1,15:45:00,15:45:00
TR_47115,LKPL,2,2,15:47:00,15:48:00
TR_47115,KQD,3,3,15:49:00,15:50:00
TR_47115,NLRD,4,4,15:51:00,15:52:00
TR_47115,BMT,5,6,15:54:00,15:55:00
TR_47115,NCHS,6,7,15:56:00,15:57:00
TR_47115,FNB,7,8,15:58:00,15:59:00
TR_47115,BTNR,8,11,16:01:00,16:02:00
TR_47115,BRBD,9,13,16:03:00,16:04:00
TR_47115,HTCY,10,16,16:05:00,16:06:00
TR_47115,HFZ,11,19,16:09:00,16:10:00
TR_47115,CDNR,12,22,16:14:00,16:15:00
TR_47115,LPI,13,24,16:30:00,16:30:00
TR_47116,HYB,1,1,16:10:00,16:10:00
TR_47116,LKPL,2,2,16:12:00,16:13:00
TR_47116,KQD,3,3,16:14:00,16:15:00
TR_47116,NLRD,4,4,16:16:00,16:17:00
TR_47116,BMT,5,7,16:21:00,16:22:00
TR_47116,NCHS,6,8,16:23:00,16:24:00
TR_47116,FNB,7,9,16:25:00,16:26:00
TR_47116,BTNR,8,12,16:27:00,16:28:00
TR_47116,BRBD,9,14,16:29:00,16:30:00
TR_47116,HTCY,10,17,16:33:00,16:34:00
TR_47116,HFZ,11,20,16:38:00,16:39:00
TR_47116,CDNR,12,24,16:42:00,16:43:00
TR_47116,LPI,13,25,17:05:00,17:05:00
TR_47117,HYB,1,1,17:05:00,17:05:00
TR_47117,LKPL,2,2,17:07:00,17:08:00
TR_47117,KQD,3,3,17:09:00,17:10:00
TR_47117,NLRD,4,4,17:12:00,17:13:00
TR_47117,BMT,5,7,17:17:00,17:18:00
TR_47117,NCHS,6,8,17:19:00,17:20:00
TR_47117,FNB,7,9,17:21:00,17:22:00
TR_47117,BTNR,8,12,17:23:00,17:24:00
TR_47117,BRBD,9,14,17:26:00,17:27:00
TR_47117,HTCY,10,17,17:29:00,17:30:00
TR_47117,HFZ,11,20,17:33:00,17:34:00
TR_47117,CDNR,12,24,17:38:00,17:39:00
TR_47117,LPI,13,25,17:55:00,17:55:00
TR_47118,HYB,1,1,17:30:00,17:30:00
TR_47118,LKPL,2,2,17:34:00,17:35:00
TR_47118,KQD,3,3,17:36:00,17:37:00
TR_47118,NLRD,4,4,17:38:00,17:39:00
TR_47118,BMT,5,7,17:43:00,17:44:00
TR_47118,NCHS,6,8,17:45:00,17:46:00
TR_47118,FNB,7,9,17:47:00,17:48:00
TR_47118,BTNR,8,12,17:51:00,17:52:00
TR_47118,BRBD,9,14,17:54:00,17:55:00
TR_47118,HTCY,10,17,17:58:00,17:59:00
TR_47118,HFZ,11,20,18:03:00,18:04:00
TR_47118,CDNR,12,24,18:08:00,18:09:00
TR_47118,LPI,13,25,18:20:00,18:20:00
TR_47119,HYB,1,1,18:15:00,18:15:00
TR_47119,LKPL,2,2,18:19:00,18:20:00
TR_47119,KQD,3,3,18:21:00,18:22:00
TR_47119,NLRD,4,4,18:23:00,18:24:00
TR_47119,BMT,5,7,18:28:00,18:29:00
TR_47119,NCHS,6,8,18:30:00,18:31:00
TR_47119,FNB,7,9,18:32:00,18:33:00
TR_47119,BTNR,8,12,18:36:00,18:37:00
TR_47119,BRBD,9,14,18:39:00,18:40:00
TR_47119,HTCY,10,17,18:43:00,18:44:00
TR_47119,HFZ,11,20,18:48:00,18:49:00
TR_47119,CDNR,12,24,18:53:00,18:54:00
TR_47119,LPI,13,25,19:05:00,19:05:00
TR_47120,HYB,1,1,18:57:00,18:57:00
TR_47120,LKPL,2,2,18:59:00,19:00:00
TR_47120,KQD,3,3,19:01:00,19:02:00
TR_47120,NLRD,4,4,19:03:00,19:04:00
TR_47120,BMT,5,6,19:06:00,19:07:00
TR_47120,NCHS,6,7,19:08:00,19:09:00
TR_47120,FNB,7,8,19:10:00,19:11:00
TR_47120,BTNR,8,11,19:13:00,19:14:00
TR_47120,BRBD,9,13,19:15:00,19:16:00
TR_47120,HTCY,10,16,19:19:00,19:20:00
TR_47120,HFZ,11,19,19:23:00,19:24:00
TR_47120,CDNR,12,22,19:27:00,19:28:00
TR_47120,LPI,13,24,19:45:00,19:45:00
TR_47121,HYB,1,1,19:40:00,19:40:00
TR_47121,LKPL,2,2,19:44:00,19:45:00
TR_47121,KQD,3,3,19:46:00,19:47:00
TR_47121,NLRD,4,4,19:48:00,19:49:00
TR_47121,BMT,5,7,19:53:00,19:54:00
TR_47121,NCHS,6,8,19:55:00,19:56:00
TR_47121,FNB,7,9,19:57:00,19:58:00
TR_47121,BTNR,8,12,20:01:00,20:02:00
TR_47121,BRBD,9,14,20:04:00,20:05:00
TR_47121,HTCY,10,17,20:08:00,20:09:00
TR_47121,HFZ,11,20,20:12:00,20:13:00
TR_47121,CDNR,12,24,20:15:00,20:16:00
TR_47121,LPI,13,25,20:30:00,20:30:00
TR_47122,HYB,1,1,20:13:00,20:13:00
TR_47122,LKPL,2,2,20:17:00,20:18:00
TR_47122,KQD,3,3,20:19:00,20:20:00
TR_47122,NLRD,4,4,20:21:00,20:22:00
TR_47122,BMT,5,7,20:26:00,20:27:00
TR_47122,NCHS,6,8,20:28:00,20:29:00
TR_47122,FNB,7,9,20:30:00,20:31:00
TR_47122,BTNR,8,12,20:34:00,20:35:00
TR_47122,BRBD,9,14,20:36:00,20:37:00
TR_47122,HTCY,10,17,20:40:00,20:41:00
TR_47122,HFZ,11,20,20:44:00,20:45:00
TR_47122,CDNR,12,24,20:49:00,20:50:00
TR_47122,LPI,13,25,21:00:00,21:00:00
TR_47123,HYB,1,1,20:53:00,20:53:00
TR_47123,LKPL,2,2,20:55:00,20:56:00
TR_47123,KQD,3,3,20:57:00,20:58:00
TR_47123,NLRD,4,4,20:59:00,21:00:00
TR_47123,BMT,5,6,21:02:00,21:03:00
TR_47123,NCHS,6,7,21:04:00,21:05:00
TR_47123,FNB,7,8,21:06:00,21:07:00
TR_47123,BTNR,8,11,21:09:00,21:10:00
TR_47123,BRBD,9,13,21:11:00,21:12:00
TR_47123,HTCY,10,16,21:15:00,21:16:00
TR_47123,HFZ,11,19,21:19:00,21:20:00
TR_47123,CDNR,12,22,21:23:00,21:24:00
TR_47123,LPI,13,24,21:38:00,21:38:00
TR_47124,HYB,1,1,21:50:00,21:50:00
TR_47124,LKPL,2,2,21:52:00,21:53:00
TR_47124,KQD,3,3,21:54:00,21:55:00
TR_47124,NLRD,4,4,21:56:00,21:57:00
TR_47124,BMT,5,6,22:00:00,22:01:00
TR_47124,NCHS,6,7,22:02:00,22:03:00
TR_47124,FNB,7,8,22:04:00,22:05:00
TR_47124,BTNR,8,11,22:07:00,22:08:00
TR_47124,BRBD,9,13,22:09:00,22:10:00
TR_47124,HTCY,10,16,22:13:00,22:14:00
TR_47124,HFZ,11,19,22:17:00,22:18:00
TR_47124,CDNR,12,22,22:21:00,22:22:00
TR_47124,LPI,13,24,22:35:00,22:35:00
TR_47125,HYB,1,1,22:08:00,22:08:00
TR_47125,LKPL,2,2,22:12:00,22:13:00
TR_47125,KQD,3,3,22:14:00,22:15:00
TR_47125,NLRD,4,4,22:16:00,22:17:00
TR_47125,BMT,5,7,22:21:00,22:22:00
TR_47125,NCHS,6,8,22:23:00,22:24:00
TR_47125,FNB,7,9,22:25:00,22:26:00
TR_47125,BTNR,8,12,22:29:00,22:30:00
TR_47125,BRBD,9,14,22:31:00,22:32:00
TR_47125,HTCY,10,17,22:35:00,22:36:00
TR_47125,HFZ,11,20,22:39:00,22:40:00
TR_47125,CDNR,12,24,22:44:00,22:45:00
TR_47125,LPI,13,25,22:50:00,22:50:00
TR_47127,LPI,1,1,05:45:00,05:45:00
TR_47127,CDNR,2,2,05:48:00,05:49:00
TR_47127,HFZ,3,5,05:53:00,05:54:00
TR_47127,HTCY,4,8,05:58:00,05:59:00
TR_47127,BRBD,5,11,06:02:00,06:03:00
TR_47127,BTNR,6,13,06:05:00,06:06:00
TR_47127,FNB,7,16,06:09:00,06:10:00
TR_47127,NCHS,8,17,06:11:00,06:12:00
TR_47127,BMT,9,18,06:13:00,06:14:00
TR_47127,NLRD,10,20,06:18:00,06:19:00
TR_47127,KQD,11,21,06:20:00,06:21:00
TR_47127,LKPL,12,22,06:24:00,06:25:00
TR_47127,HYB,13,24,06:40:00,06:40:00
TR_47128,LPI,1,1,06:38:00,06:38:00
TR_47128,CDNR,2,2,06:41:00,06:42:00
TR_47128,HFZ,3,5,06:45:00,06:46:00
TR_47128,HTCY,4,8,06:49:00,06:50:00
TR_47128,BRBD,5,11,06:51:00,06:52:00
TR_47128,BTNR,6,13,06:53:00,06:54:00
TR_47128,FNB,7,16,06:55:00,06:56:00
TR_47128,NCHS,8,17,06:57:00,06:58:00
TR_47128,BMT,9,18,06:59:00,07:00:00
TR_47128,NLRD,10,20,07:03:00,07:04:00
TR_47128,KQD,11,22,07:06:00,07:07:00
TR_47128,LKPL,12,23,07:10:00,07:11:00
TR_47128,HYB,13,24,07:30:00,07:30:00
TR_47129,LPI,1,1,07:20:00,07:20:00
TR_47129,CDNR,2,2,07:23:00,07:24:00
TR_47129,HFZ,3,5,07:27:00,07:28:00
TR_47129,HTCY,4,8,07:31:00,07:32:00
TR_47129,BRBD,5,11,07:33:00,07:34:00
TR_47129,BTNR,6,13,07:35:00,07:36:00
TR_47129,FNB,7,16,07:37:00,07:38:00
TR_47129,NCHS,8,17,07:39:00,07:40:00
TR_47129,BMT,9,18,07:41:00,07:42:00
TR_47129,NLRD,10,20,07:44:00,07:45:00
TR_47129,KQD,11,21,07:48:00,07:49:00
TR_47129,LKPL,12,22,07:52:00,07:53:00
TR_47129,HYB,13,24,08:05:00,08:05:00
TR_47130,LPI,1,1,08:00:00,08:00:00
TR_47130,CDNR,2,2,08:03:00,08:04:00
TR_47130,HFZ,3,5,08:08:00,08:09:00
TR_47130,HTCY,4,8,08:12:00,08:13:00
TR_47130,BRBD,5,11,08:14:00,08:15:00
TR_47130,BTNR,6,13,08:16:00,08:17:00
TR_47130,FNB,7,16,08:19:00,08:20:00
TR_47130,NCHS,8,17,08:21:00,08:22:00
TR_47130,BMT,9,18,08:23:00,08:24:00
TR_47130,NLRD,10,20,08:25:00,08:26:00
TR_47130,KQD,11,22,08:27:00,08:28:00
TR_47130,LKPL,12,23,08:31:00,08:32:00
TR_47130,HYB,13,24,08:50:00,08:50:00
TR_47131,LPI,1,1,08:43:00,08:43:00
TR_47131,CDNR,2,2,08:46:00,08:47:00
TR_47131,HFZ,3,5,08:50:00,08:51:00
TR_47131,HTCY,4,8,08:53:00,08:54:00
TR_47131,BRBD,5,11,08:55:00,08:56:00
TR_47131,BTNR,6,13,08:57:00,08:58:00
TR_47131,FNB,7,16,08:59:00,09:00:00
TR_47131,NCHS,8,17,09:01:00,09:02:00
TR_47131,BMT,9,18,09:03:00,09:04:00
TR_47131,NLRD,10,20,09:07:00,09:08:00
TR_47131,KQD,11,22,09:10:00,09:11:00
TR_47131,LKPL,12,23,09:14:00,09:15:00
TR_47131,HYB,13,24,09:28:00,09:28:00
TR_47132,LPI,1,1,09:25:00,09:25:00
TR_47132,CDNR,2,2,09:28:00,09:29:00
TR_47132,HFZ,3,5,09:33:00,09:34:00
TR_47132,HTCY,4,8,09:38:00,09:39:00
TR_47132,BRBD,5,11,09:42:00,09:43:00
TR_47132,BTNR,6,13,09:44:00,09:45:00
TR_47132,FNB,7,16,09:48:00,09:49:00
TR_47132,NCHS,8,17,09:50:00,09:51:00
TR_47132,BMT,9,18,09:52:00,09:53:00
TR_47132,NLRD,10,20,09:57:00,09:58:00
TR_47132,KQD,11,21,09:59:00,10:00:00
TR_47132,LKPL,12,22,10:01:00,10:02:00
TR_47132,HYB,13,24,10:10:00,10:10:00
TR_47133,LPI,1,1,09:55:00,09:55:00
TR_47133,CDNR,2,2,09:58:00,09:59:00
TR_47133,HFZ,3,5,10:03:00,10:04:00
TR_47133,HTCY,4,8,10:07:00,10:08:00
TR_47133,BRBD,5,11,10:09:00,10:10:00
TR_47133,BTNR,6,13,10:11:00,10:12:00
TR_47133,FNB,7,16,10:14:00,10:15:00
TR_47133,NCHS,8,17,10:16:00,10:17:00
TR_47133,BMT,9,18,10:18:00,10:19:00
TR_47133,NLRD,10,20,10:22:00,10:23:00
TR_47133,KQD,11,22,10:25:00,10:26:00
TR_47133,LKPL,12,23,10:29:00,10:30:00
TR_47133,HYB,13,24,10:45:00,10:45:00
TR_47134,LPI,1,1,10:29:00,10:29:00
TR_47134,CDNR,2,2,10:32:00,10:33:00
TR_47134,HFZ,3,5,10:36:00,10:37:00
TR_47134,HTCY,4,8,10:40:00,10:41:00
TR_47134,BRBD,5,11,10:42:00,10:43:00
TR_47134,BTNR,6,13,10:44:00,10:45:00
TR_47134,FNB,7,16,10:47:00,10:48:00
TR_47134,NCHS,8,17,10:49:00,10:50:00
TR_47134,BMT,9,18,10:51:00,10:52:00
TR_47134,NLRD,10,20,10:55:00,10:56:00
TR_47134,KQD,11,22,10:58:00,10:59:00
TR_47134,LKPL,12,23,11:02:00,11:03:00
TR_47134,HYB,13,24,11:14:00,11:14:00
TR_47135,LPI,1,1,11:10:00,11:10:00
TR_47135,CDNR,2,2,11:13:00,11:14:00
TR_47135,HFZ,3,5,11:19:00,11:20:00
TR_47135,HTCY,4,8,11:24:00,11:25:00
TR_47135,BRBD,5,11,11:28:00,11:29:00
TR_47135,BTNR,6,13,11:30:00,11:31:00
TR_47135,FNB,7,16,11:36:00,11:37:00
TR_47135,NCHS,8,17,11:38:00,11:39:00
TR_47135,BMT,9,18,11:40:00,11:41:00
TR_47135,NLRD,10,20,11:45:00,11:46:00
TR_47135,KQD,11,21,11:47:00,11:48:00
TR_47135,LKPL,12,22,11:49:00,11:50:00
TR_47135,HYB,13,24,11:55:00,11:55:00
TR_47136,LPI,1,1,11:48:00,11:48:00
TR_47136,CDNR,2,2,11:51:00,11:52:00
TR_47136,HFZ,3,5,11:56:00,11:57:00
TR_47136,HTCY,4,8,12:00:00,12:01:00
TR_47136,BRBD,5,11,12:02:00,12:03:00
TR_47136,BTNR,6,13,12:04:00,12:05:00
TR_47136,FNB,7,16,12:07:00,12:08:00
TR_47136,NCHS,8,17,12:09:00,12:10:00
TR_47136,BMT,9,18,12:11:00,12:12:00
TR_47136,NLRD,10,20,12:15:00,12:16:00
TR_47136,KQD,11,22,12:18:00,12:19:00
TR_47136,LKPL,12,23,12:22:00,12:23:00
TR_47136,HYB,13,24,12:33:00,12:33:00
TR_47137,LPI,1,1,12:30:00,12:30:00
TR_47137,CDNR,2,2,12:33:00,12:34:00
TR_47137,HFZ,3,5,12:37:00,12:38:00
TR_47137,HTCY,4,8,12:41:00,12:42:00
TR_47137,BRBD,5,11,12:43:00,12:44:00
TR_47137,BTNR,6,13,12:45:00,12:46:00
TR_47137,FNB,7,16,12:47:00,12:48:00
TR_47137,NCHS,8,17,12:49:00,12:50:00
TR_47137,BMT,9,18,12:51:00,12:52:00
TR_47137,NLRD,10,20,12:53:00,12:54:00
TR_47137,KQD,11,22,12:56:00,12:57:00
TR_47137,LKPL,12,23,13:00:00,13:01:00
TR_47137,HYB,13,24,13:15:00,13:15:00
TR_47138,LPI,1,1,13:15:00,13:15:00
TR_47138,CDNR,2,2,13:18:00,13:19:00
TR_47138,HFZ,3,5,13:24:00,13:25:00
TR_47138,HTCY,4,8,13:29:00,13:30:00
TR_47138,BRBD,5,11,13:33:00,13:34:00
TR_47138,BTNR,6,13,13:36:00,13:37:00
TR_47138,FNB,7,16,13:40:00,13:41:00
TR_47138,NCHS,8,17,13:42:00,13:43:00
TR_47138,BMT,9,18,13:44:00,13:45:00
TR_47138,NLRD,10,20,13:49:00,13:50:00
TR_47138,KQD,11,21,13:51:00,13:52:00
TR_47138,LKPL,12,22,13:53:00,13:54:00
TR_47138,HYB,13,24,14:00:00,14:00:00
TR_47139,LPI,1,1,15:00:00,15:00:00
TR_47139,CDNR,2,2,15:03:00,15:04:00
TR_47139,HFZ,3,5,15:08:00,15:09:00
TR_47139,HTCY,4,8,15:12:00,15:13:00
TR_47139,BRBD,5,11,15:14:00,15:15:00
TR_47139,BTNR,6,13,15:16:00,15:17:00
TR_47139,FNB,7,16,15:19:00,15:20:00
TR_47139,NCHS,8,17,15:21:00,15:22:00
TR_47139,BMT,9,18,15:23:00,15:24:00
TR_47139,NLRD,10,20,15:25:00,15:26:00
TR_47139,KQD,11,21,15:28:00,15:29:00
TR_47139,LKPL,12,22,15:32:00,15:33:00
TR_47139,HYB,13,24,15:45:00,15:45:00
TR_47140,LPI,1,1,16:13:00,16:13:00
TR_47140,CDNR,2,2,16:16:00,16:17:00
TR_47140,HFZ,3,5,16:21:00,16:22:00
TR_47140,HTCY,4,8,16:25:00,16:26:00
TR_47140,BRBD,5,11,16:27:00,16:28:00
TR_47140,BTNR,6,13,16:29:00,16:30:00
TR_47140,FNB,7,16,16:31:00,16:32:00
TR_47140,NCHS,8,17,16:33:00,16:34:00
TR_47140,BMT,9,18,16:35:00,16:36:00
TR_47140,NLRD,10,20,16:38:00,16:39:00
TR_47140,KQD,11,21,16:40:00,16:41:00
TR_47140,LKPL,12,22,16:44:00,16:45:00
TR_47140,HYB,13,24,17:15:00,17:15:00
TR_47141,LPI,1,1,17:20:00,17:20:00
TR_47141,CDNR,2,2,17:23:00,17:24:00
TR_47141,HFZ,3,5,17:27:00,17:28:00
