route_id,service_id,trip_id,trip_headsign,trip_short_name,IN_numstops,IN_duration,IN_distance,IN_speed,IN_LL_dist,IN_LL_speed
47119,cal_MoTuWeThFrSaSu,TR_47119,LINGAMPALLI,47119,13,0.8,25.0,31.2,22.5,28.1
47120,cal_MoTuWeThFrSaSu,TR_47120,LINGAMPALLI,47120,13,0.8,24.0,30.0,22.5,28.1
47121,cal_MoTuWeThFrSaSu,TR_47121,LINGAMPALLI,47121,13,0.8,25.0,31.2,22.5,28.1
47122,cal_MoTuWeThFrSaSu,TR_47122,LINGAMPALLI,47122,13,0.8,25.0,31.2,22.5,28.1
47123,cal_MoTuWeThFrSaSu,TR_47123,LINGAMPALLI,47123,13,0.8,24.0,30.0,22.5,28.1
47124,cal_MoTuWeThFrSaSu,TR_47124,LINGAMPALLI,47124,13,0.8,24.0,30.0,22.5,28.1
47125,cal_MoTuWeThFrSaSu,TR_47125,LINGAMPALLI,47125,13,0.7,25.0,35.7,22.5,32.1
47126,cal_MoTuWeThFrSaSu,TR_47126,HYDERABAD DECAN,47126,13,0.8,24.0,30.0,22.5,28.1
47127,cal_MoTuWeThFrSaSu,TR_47127,HYDERABAD DECAN,47127,13,0.9,24.0,26.7,22.5,25.0
47128,cal_MoTuWeThFrSaSu,TR_47128,HYDERABAD DECAN,47128,13,0.9,24.0,26.7,22.5,25.0
47129,cal_MoTuWeThFrSaSu,TR_47129,HYDERABAD DECAN,47129,13,0.8,24.0,30.0,22.5,28.1
47130,cal_MoTuWeThFrSaSu,TR_47130,HYDERABAD DECAN,47130,13,0.8,24.0,30.0,22.5,28.1
47131,cal_MoTuWeThFrSaSu,TR_47131,HYDERABAD DECAN,47131,13,0.8,24.0,30.0,22.5,28.1
47132,cal_MoTuWeThFrSaSu,TR_47132,HYDERABAD DECAN,47132,13,0.8,24.0,30.0,22.5,28.1
47133,cal_MoTuWeThFrSaSu,TR_47133,HYDERABAD DECAN,47133,13,0.8,24.0,30.0,22.5,28.1
47134,cal_MoTuWeThFrSa,TR_47134,HYDERABAD DECAN,47134,13,0.8,24.0,30.0,22.5,28.1
47135,cal_MoTuWeThFrSa,TR_47135,HYDERABAD DECAN,47135,13,0.8,24.0,30.0,22.5,28.1
47136,cal_MoTuWeThFrSa,TR_47136,HYDERABAD DECAN,47136,13,0.8,24.0,30.0,22.5,28.1
47137,cal_MoTuWeThFrSa,TR_47137,HYDERABAD DECAN,47137,13,0.8,24.0,30.0,22.5,28.1
47138,cal_MoTuWeThFrSa,TR_47138,HYDERABAD DECAN,47138,13,0.8,24.0,30.0,22.5,28.1
47139,cal_MoTuWeThFrSaSu,TR_47139,HYDERABAD DECAN,47139,13,0.8,24.0,30.0,22.5,28.1
47140,cal_MoTuWeThFrSaSu,TR_47140,HYDERABAD DECAN,47140,13,1.0,24.0,24.0,22.5,22.5
47141,cal_MoTuWeThFrSaSu,TR_47141,HYDERABAD DECAN,47141,13,0.8,24.0,30.0,22.5,28.1
47142,cal_MoTuWeThFrSaSu,TR_47142,HYDERABAD DECAN,47142,13,0.8,24.0,30.0,22.5,28.1
47143,cal_MoTuWeThFrSaSu,TR_47143,HYDERABAD DECAN,47143,13,0.8,24.0,30.0,22.5,28.1
47144,cal_MoTuWeThFrSaSu,TR_47144,HYDERABAD DECAN,47144,13,0.8,24.0,30.0,22.5,28.1
47145,cal_MoTuWeThFrSaSu,TR_47145,HYDERABAD DECAN,47145,13,0.8,24.0,30.0,22.5,28.1
47146,cal_MoTuWeThFrSaSu,TR_47146,HYDERABAD DECAN,47146,13,0.8,24.0,30.0,22.5,28.1
47147,cal_MoTuWeThFrSaSu,TR_47147,HYDERABAD DECAN,47147,13,0.8,24.0,30.0,22.5,28.1
47148,cal_MoTuWeThFrSaSu,TR_47148,HYDERABAD DECAN,47148,13,0.8,24.0,30.0,22.5,28.1
47149,cal_MoTuWeThFrSaSu,TR_47149,LINGAMPALLI,47149,22,1.4,37.0,26.4,36.1,25.8
47150,cal_MoTuWeThFrSaSu,TR_47150,LINGAMPALLI,47150,22,1.3,37.0,28.5,36.1,27.8
47151,cal_MoTuWeThFrSaSu,TR_47151,LINGAMPALLI,47151,22,1.4,37.0,26.4,36.1,25.8
47152,cal_MoTuWeThFrSaSu,TR_47152,LINGAMPALLI,47152,22,1.4,37.0,26.4,36.1,25.8
47153,cal_MoTuWeThFrSaSu,TR_47153,LINGAMPALLI,47153,22,1.5,37.0,24.7,36.1,24.1
47154,cal_MoTuWeThFrSaSu,TR_47154,LINGAMPALLI,47154,22,1.3,37.0,28.5,36.1,27.8
47155,cal_MoTuWeThFrSaSu,TR_47155,LINGAMPALLI,47155,22,1.4,37.0,26.4,36.1,25.8
47156,cal_MoTuWeThFrSaSu,TR_47156,LINGAMPALLI,47156,22,1.4,37.0,26.4,36.1,25.8
47157,cal_MoTuWeThFrSaSu,TR_47157,LINGAMPALLI,47157,22,1.4,37.0,26.4,36.1,25.8
47158,cal_MoTuWeThFrSa,TR_47158,LINGAMPALLI,47158,22,1.3,37.0,28.5,36.1,27.8
47159,cal_MoTuWeThFrSaSu,TR_47159,KCG FALAKNUMA,47159,22,1.5,37.0,24.7,36.1,24.1
47160,cal_MoTuWeThFrSa,TR_47160,LINGAMPALLI,47160,22,1.4,37.0,26.4,36.1,25.8
47161,cal_MoTuWeThFrSa,TR_47161,LINGAMPALLI,47161,22,1.3,37.0,28.5,36.1,27.8
47162,cal_MoTuWeThFrSaSu,TR_47162,LINGAMPALLI,47162,22,1.4,37.0,26.4,36.1,25.8
47163,cal_MoTuWeThFrSaSu,TR_47163,LINGAMPALLI,47163,22,1.3,37.0,28.5,36.1,27.8
47164,cal_MoTuWeThFrSaSu,TR_47164,LINGAMPALLI,47164,22,1.4,37.0,26.4,36.1,25.8
47165,cal_MoTuWeThFrSaSu,TR_47165,LINGAMPALLI,47165,22,1.4,37.0,26.4,36.1,25.8
47166,cal_MoTuWeThFrSaSu,TR_47166,LINGAMPALLI,47166,22,1.4,37.0,26.4,36.1,25.8
47167,cal_MoTuWeThFrSaSu,TR_47167,LINGAMPALLI,47167,22,1.3,37.0,28.5,36.1,27.8
47168,cal_MoTuWeThFrSaSu,TR_47168,SECUNDERABAD JN,47168,11,0.8,15.0,18.8,14.1,17.6
47169,cal_MoTuWeThFrSaSu,TR_47169,LINGAMPALLI,47169,22,1.4,37.0,26.4,36.1,25.8
47170,cal_MoTuWeThFrSaSu,TR_47170,LINGAMPALLI,47170,22,1.4,37.0,26.4,36.1,25.8
47171,cal_MoTuWeThFrSaSu,TR_47171,KCG FALAKNUMA,47171,22,1.4,37.0,26.4,36.1,25.8
47172,cal_MoTuWeThFrSaSu,TR_47172,KCG FALAKNUMA,47172,11,0.5,15.0,30.0,14.1,28.2
47173,cal_MoTuWeThFrSaSu,TR_47173,KCG FALAKNUMA,47173,22,1.3,37.0,28.5,36.1,27.8
47174,cal_MoTuWeThFrSaSu,TR_47174,KCG FALAKNUMA,47174,22,1.4,37.0,26.4,36.1,25.8
47175,cal_MoTuWeThFrSaSu,TR_47175,KCG FALAKNUMA,47175,22,1.4,37.0,26.4,36.1,25.8
47176,cal_MoTuWeThFrSaSu,TR_47176,KCG FALAKNUMA,47176,22,1.4,37.0,26.4,36.1,25.8
47177,cal_MoTuWeThFrSaSu,TR_47177,KCG FALAKNUMA,47177,22,1.4,37.0,26.4,36.1,25.8
47178,cal_MoTuWeThFrSaSu,TR_47178,KCG FALAKNUMA,47178,22,1.4,37.0,26.4,36.1,25.8
47179,cal_MoTuWeThFrSa,TR_47179,KCG FALAKNUMA,47179,22,1.3,37.0,28.5,36.1,27.8
47180,cal_MoTuWeThFrSaSu,TR_47180,KCG FALAKNUMA,47180,22,1.3,37.0,28.5,36.1,27.8
47181,cal_MoTuWeThFrSaSu,TR_47181,KCG FALAKNUMA,47181,22,1.3,37.0,28.5,36.1,27.8
47182,cal_MoTuWeThFrSa,TR_47182,KCG FALAKNUMA,47182,22,1.4,37.0,26.4,36.1,25.8
47183,cal_MoTuWeThFrSaSu,TR_47183,KCG FALAKNUMA,47183,22,1.3,37.0,28.5,36.1,27.8
47184,cal_MoTuWeThFrSa,TR_47184,KCG FALAKNUMA,47184,22,1.3,37.0,28.5,36.1,27.8
47185,cal_MoTuWeThFrSaSu,TR_47185,KCG FALAKNUMA,47185,22,1.3,37.0,28.5,36.1,27.8
47186,cal_MoTuWeThFrSaSu,TR_47186,KCG FALAKNUMA,47186,22,1.3,37.0,28.5,36.1,27.8
47187,cal_MoTuWeThFrSaSu,TR_47187,KCG FALAKNUMA,47187,22,1.4,37.0,26.4,36.1,25.8
47188,cal_MoTuWeThFrSaSu,TR_47188,KCG FALAKNUMA,47188,22,1.4,37.0,26.4,36.1,25.8
47189,cal_MoTuWeThFrSaSu,TR_47189,KCG FALAKNUMA,47189,22,1.4,37.0,26.4,36.1,25.8
47190,cal_MoTuWeThFrSaSu,TR_47190,KCG FALAKNUMA,47190,22,1.4,37.0,26.4,36.1,25.8
47191,cal_MoTuWeThFrSaSu,TR_47191,KCG FALAKNUMA,47191,22,1.4,37.0,26.4,36.1,25.8
47192,cal_MoTuWeThFrSaSu,TR_47192,KCG FALAKNUMA,47192,22,1.3,37.0,28.5,36.1,27.8
47193,cal_MoTuWeThFrSaSu,TR_47193,KCG FALAKNUMA,47193,22,1.4,37.0,26.4,36.1,25.8
47194,cal_MoTuWeThFrSaSu,TR_47194,KCG FALAKNUMA,47194,22,1.5,37.0,24.7,36.1,24.1
47195,cal_MoTuWeThFrSaSu,TR_47195,SECUNDERABAD JN,47195,12,0.9,23.0,25.6,21.9,24.3
47196,cal_MoTuWeThFrSaSu,TR_47196,HYDERABAD DECAN,47196,7,0.5,9.0,18.0,8.2,16.4
47197,cal_MoTuWeThFrSaSu,TR_47197,HYDERABAD DECAN,47197,17,1.2,21.0,17.5,22.3,18.6
47198,cal_MoTuWeThFrSa,TR_47198,LINGAMPALLI,47198,22,1.5,37.0,24.7,36.1,24.1
47199,cal_MoTuWeThFrSa,TR_47199,HYDERABAD DECAN,47199,17,1.1,21.0,19.1,22.3,20.3
47200,cal_MoTuWeThFrSaSu,TR_47200,HYDERABAD DECAN,47200,17,1.3,21.0,16.2,22.3,17.2
47201,cal_MoTuWeThFrSaSu,TR_47201,HYDERABAD DECAN,47201,17,1.0,24.0,24.0,22.3,22.3
47202,cal_MoTuWeThFrSaSu,TR_47202,HYDERABAD DECAN,47202,17,1.1,24.0,21.8,22.3,20.3
47203,cal_MoTuWeThFrSaSu,TR_47203,LINGAMPALLI,47203,22,1.2,37.0,30.8,36.1,30.1
47204,cal_MoTuWeThFrSaSu,TR_47204,SECUNDERABAD JN,47204,11,0.8,15.0,18.8,14.1,17.6
47205,cal_MoTuWeThFrSaSu,TR_47205,KCG FALAKNUMA,47205,11,0.5,15.0,30.0,14.1,28.2
47206,cal_MoTuWeThFrSaSu,TR_47206,KCG FALAKNUMA,47206,17,1.2,25.0,20.8,22.3,18.6
47207,cal_MoTuWeThFrSaSu,TR_47207,LINGAMPALLI,47207,22,1.4,37.0,26.4,36.1,25.8
47208,cal_MoTuWeThFrSa,TR_47208,KCG FALAKNUMA,47208,17,1.1,25.0,22.7,22.3,20.3
47209,cal_MoTuWeThFrSa,TR_47209,KCG FALAKNUMA,47209,17,1.1,25.0,22.7,22.3,20.3
47210,cal_MoTuWeThFrSaSu,TR_47210,KCG FALAKNUMA,47210,22,1.4,37.0,26.4,36.1,25.8
47211,cal_MoTuWeThFrSaSu,TR_47211,LINGAMPALLI,47211,22,1.4,37.0,26.4,36.1,25.8
47212,cal_MoTuWeThFrSaSu,TR_47212,KCG FALAKNUMA,47212,22,1.3,37.0,28.5,36.1,27.8
47213,cal_MoTuWeThFrSaSu,TR_47213,KCG FALAKNUMA,47213,22,1.4,37.0,26.4,36.1,25.8
47214,cal_MoTuWeThFrSaSu,TR_47214,LINGAMPALLI,47214,22,1.4,37.0,26.4,36.1,25.8
47215,cal_MoTuWeThFrSaSu,TR_47215,KCG FALAKNUMA,47215,22,1.3,37.0,28.5,36.1,27.8
47216,cal_MoTuWeThFrSaSu,TR_47216,LINGAMPALLI,47216,22,1.3,37.0,28.5,36.1,27.8
47217,cal_MoTuWeThFrSaSu,TR_47217,KCG FALAKNUMA,47217,22,1.3,37.0,28.5,36.1,27.8
47218,cal_MoTuWeThFrSaSu,TR_47218,LINGAMPALLI,47218,22,1.4,37.0,26.4,36.1,25.8
47219,cal_MoTuWeThFrSaSu,TR_47219,KCG FALAKNUMA,47219,22,1.3,37.0,28.5,36.1,27.8
47220,cal_MoTuWeThFrSaSu,TR_47220,LINGAMPALLI,47220,22,1.4,37.0,26.4,36.1,25.8
67276,cal_MoTuWeThFrSa,TR_67276,KCG FALAKNUMA,67276,16,1.8,60.0,33.3,55.6,30.9
67277,cal_MoTuWeThFrSa,TR_67277,JANGAON,67277,21,2.8,97.0,34.6,90.8,32.4
67278,cal_MoTuWeThFrSa,TR_67278,KCG FALAKNUMA,67278,21,3.0,97.0,32.3,90.8,30.3
77604,cal_MoTuWeFrSaSu,TR_77604,KCG FALAKNUMA,77604,20,1.0,26.0,26.0,24.6,24.6
77630,cal_MoTuWeFrSaSu,TR_77630,UMDANAGAR,77630,14,1.0,28.0,28.0,26.4,26.4
77631,cal_MoTuWeFrSaSu,TR_77631,UMDANAGAR,77631,4,0.4,13.0,32.5,12.3,30.8
77632,cal_MoTuWeFrSaSu,TR_77632,UMDANAGAR,77632,4,0.4,13.0,32.5,12.3,30.8
77633,cal_MoTuWeFrSaSu,TR_77633,UMDANAGAR,77633,4,0.3,13.0,43.3,12.3,41.0
77634,cal_MoTuWeFrSaSu,TR_77634,UMDANAGAR,77634,4,0.3,13.0,43.3,12.3,41.0
77635,cal_MoTuWeThFrSu,TR_77635,UMDANAGAR,77635,4,0.6,13.0,21.7,12.3,20.5
77638,cal_MoTuWeThFrSu,TR_77638,UMDANAGAR,77638,4,0.3,13.0,43.3,12.3,41.0
77640,cal_MoTuWeFrSaSu,TR_77640,KCG FALAKNUMA,77640,4,0.3,13.0,43.3,12.3,41.0
77641,cal_MoTuWeFrSaSu,TR_77641,KCG FALAKNUMA,77641,4,0.3,13.0,43.3,12.3,41.0
77642,cal_MoTuWeFrSaSu,TR_77642,KCG FALAKNUMA,77642,4,0.3,13.0,43.3,12.3,41.0
77643,cal_MoTuWeFrSaSu,TR_77643,KCG FALAKNUMA,77643,4,0.3,13.0,43.3,12.3,41.0
77645,cal_MoTuWeFrSaSu,TR_77645,SECUNDERABAD JN,77645,14,0.9,28.0,31.1,26.4,29.3
77647,cal_MoTuWeThFrSu,TR_77647,KCG FALAKNUMA,77647,4,0.7,13.0,18.6,12.3,17.6
77649,cal_MoTuWeThFrSu,TR_77649,SECUNDERABAD JN,77649,14,0.8,28.0,35.0,26.4,33.0
77680,cal_MoTuWeThFrSu,TR_77680,KCG FALAKNUMA,77680,23,1.2,40.0,33.3,37.9,31.6
77681,cal_MoTuWeThFrSu,TR_77681,MEDCHAL,77681,23,1.5,40.0,26.7,37.9,25.3
77682,cal_MoTuWeThFrSu,TR_77682,KCG FALAKNUMA,77682,23,1.2,40.0,33.3,37.9,31.6
